192.168.88.200:18316,194.126.16.38:53,udp,95,179,274,2024-10-29 18:42:27
192.168.88.200:50390,34.102.164.249:443,udp,16403,153633,170036,2024-10-29 18:42:27
192.168.88.200:33176,194.126.16.38:53,udp,77,150,227,2024-10-29 18:42:27
192.168.88.200:33496,194.126.16.38:53,udp,85,139,224,2024-10-29 18:42:27
192.168.88.200:17271,194.126.16.38:53,udp,78,132,210,2024-10-29 18:42:27
192.168.88.200:51413,194.126.16.38:53,udp,77,131,208,2024-10-29 18:42:27
192.168.88.200:21281,194.126.16.38:53,udp,77,287,364,2024-10-29 18:42:27
192.168.88.200:56516,194.126.16.38:53,udp,77,131,208,2024-10-29 18:42:27
192.168.88.200:6365,194.126.16.38:53,udp,77,259,336,2024-10-29 18:42:27
192.168.88.200:1325,194.126.16.38:53,udp,77,423,500,2024-10-29 18:42:27
192.168.88.200:43740,194.126.16.38:53,udp,80,134,214,2024-10-29 18:42:27
192.168.88.200:54891,207.211.215.40:443,udp,2514,306,2820,2024-10-29 18:42:27
192.168.88.200:26474,194.126.16.38:53,udp,70,86,156,2024-10-29 18:42:27
192.168.88.200:56799,157.240.27.142:443,tcp,665,3813,4478,2024-10-29 18:42:27
192.168.88.200:10045,194.126.16.38:53,udp,75,248,323,2024-10-29 18:42:27
192.168.88.200:9409,194.126.16.38:53,udp,77,256,333,2024-10-29 18:42:27
192.168.88.200:31803,194.126.16.38:53,udp,78,132,210,2024-10-29 18:42:27
192.168.88.200:15583,194.126.16.38:53,udp,80,134,214,2024-10-29 18:42:27
192.168.88.200:55240,194.126.16.38:53,udp,77,342,419,2024-10-29 18:42:27
192.168.88.200:57712,194.126.16.38:53,udp,75,225,300,2024-10-29 18:42:27
192.168.88.200:3328,194.126.16.38:53,udp,91,228,319,2024-10-29 18:42:27
192.168.88.200:49316,194.126.16.38:53,udp,86,218,304,2024-10-29 18:42:27
192.168.88.200:8838,194.126.16.38:53,udp,74,90,164,2024-10-29 18:42:27
192.168.88.200:31814,194.126.16.38:53,udp,90,144,234,2024-10-29 18:42:27
192.168.88.200:53291,194.126.16.38:53,udp,76,227,303,2024-10-29 18:42:27
192.168.88.200:52170,43.132.66.198:443,udp,1408,7424,8832,2024-10-29 18:42:27
192.168.88.200:53585,164.52.94.36:443,udp,3864,14736,18600,2024-10-29 18:42:27
192.168.88.200:26091,194.126.16.38:53,udp,77,342,419,2024-10-29 18:42:27
192.168.88.200:37224,194.126.16.38:53,udp,80,258,338,2024-10-29 18:42:27
192.168.88.200:56798,157.240.27.55:5222,tcp,2373,2496,4869,2024-10-29 18:42:27
192.168.88.200:48620,194.126.16.38:53,udp,78,202,280,2024-10-29 18:42:27
192.168.88.200:14604,194.126.16.38:53,udp,72,219,291,2024-10-29 18:42:27
192.168.88.200:25458,13.38.179.104:32100,udp,260,168,428,2024-10-29 18:42:27
192.168.88.200:23140,194.126.16.38:53,udp,77,423,500,2024-10-29 18:42:27
192.168.88.200:31227,194.126.16.38:53,udp,72,219,291,2024-10-29 18:42:27
54.254.90.185:32099,82.146.184.218:25458,udp,48,0,48,2024-10-29 18:42:27
192.168.88.200:7178,194.126.16.38:53,udp,77,287,364,2024-10-29 18:42:27
192.168.88.200:39052,194.126.16.38:53,udp,70,86,156,2024-10-29 18:42:27
